iter	Logloss
0	0.683137472
1	0.6726951074
2	0.6630954169
3	0.6548969104
4	0.6470709959
5	0.6396662912
6	0.6338433758
7	0.6286960497
8	0.6225618414
9	0.6168668445
10	0.6116046339
11	0.6067891533
12	0.6008487716
13	0.5960889785
14	0.5922130542
15	0.5872901499
16	0.5825785987
17	0.5791547399
18	0.575489681
19	0.571722822
20	0.5680733607
21	0.5650361436
22	0.5627801977
23	0.5598421424
24	0.5563876217
25	0.5535423468
26	0.5513453532
27	0.5493454968
28	0.5479309776
29	0.5453327681
30	0.5428886164
31	0.5414501355
32	0.5388941646
33	0.5360208649
34	0.5338362308
35	0.5320486769
36	0.5308560205
37	0.5288633983
38	0.5267245184
39	0.5246167951
40	0.5233549805
41	0.5219873153
42	0.5194770847
43	0.5176370815
44	0.5164443957
45	0.5149369875
46	0.5126088564
47	0.5109988927
48	0.5099636465
49	0.5087459027
50	0.5074529639
51	0.5063263955
52	0.5047391257
53	0.5024368762
54	0.5014540741
55	0.4996460763
56	0.4979117106
57	0.4965861942
58	0.4953959569
59	0.4935006125
60	0.4918533115
61	0.4906842928
62	0.4896525525
63	0.4880852113
64	0.4869234695
65	0.4852338496
66	0.4837328533
67	0.4819157926
68	0.4808897031
69	0.4793044561
70	0.478044584
71	0.4770675983
72	0.4755046599
73	0.4743378755
74	0.4732289333
75	0.471818255
76	0.4704895717
77	0.4693415505
78	0.4671309926
79	0.4653330585
80	0.4644321615
81	0.4636714117
82	0.4625721238
83	0.4616902813
84	0.45986708
85	0.4580225134
86	0.4564369745
87	0.4550631569
88	0.4540969481
89	0.4533907937
90	0.4519617391
91	0.451028593
92	0.4501409683
93	0.4487810096
94	0.4478753662
95	0.4459285021
96	0.4449751158
97	0.4441259635
98	0.443445961
99	0.4423422121
100	0.4413582999
101	0.4403541538
102	0.4396930707
103	0.438107358
104	0.43649674
105	0.4348324921
106	0.4334622901
107	0.4323867547
108	0.4316229799
109	0.4307088646
110	0.4298643944
111	0.4287421488
112	0.4271376214
113	0.425806008
114	0.424636476
115	0.4238899222
116	0.4228094439
117	0.4221517261
118	0.4216040539
119	0.4201127293
120	0.4196723249
121	0.4185248634
122	0.4178412753
123	0.4166312423
124	0.4154646077
125	0.4144499684
126	0.4129997031
127	0.4114476234
128	0.4102246082
129	0.4096435992
130	0.4082797885
131	0.4068387373
132	0.4060090239
133	0.4051889641
134	0.404393542
135	0.4035794766
136	0.4026636063
137	0.4015033917
138	0.4005543726
139	0.3994602128
140	0.3979365179
141	0.3965322367
142	0.3959722161
143	0.3942563952
144	0.3935557803
145	0.3925242642
146	0.3909497611
147	0.3899884221
148	0.3889948173
149	0.3883204262
150	0.3872516565
151	0.3864265398
152	0.3853935112
153	0.3844616123
154	0.3834316126
155	0.3826421192
156	0.381644516
157	0.3810822185
158	0.3802216803
159	0.3795052661
160	0.3786317734
161	0.3771387588
162	0.3755693583
163	0.3749494863
164	0.3738257246
165	0.3729864577
166	0.3720489029
167	0.3711614795
168	0.3702027585
169	0.3686114322
170	0.3678268297
171	0.3675384053
172	0.3666562775
173	0.3658815177
174	0.3644037411
175	0.3628090178
176	0.3617900738
177	0.3614758255
178	0.3603695367
179	0.3596955324
180	0.359364542
181	0.3582269931
182	0.3578509673
183	0.3563324462
184	0.3553229463
185	0.3543048268
186	0.3534444663
187	0.3523027018
188	0.3509772456
189	0.349681206
190	0.348361504
191	0.3474141583
192	0.3469344232
193	0.3458534135
194	0.344763499
195	0.3436306201
196	0.34343587
197	0.341568678
198	0.3406386717
199	0.3399116655
200	0.3388507193
201	0.3378113608
202	0.3363976087
203	0.3356682845
204	0.3341746708
205	0.3332130926
206	0.3321894731
207	0.3316566971
208	0.3301662543
209	0.3287467562
210	0.3277793786
211	0.3266089856
212	0.325434658
213	0.3245290571
214	0.3238316581
215	0.3229238886
216	0.3224453614
217	0.3212796801
218	0.3204034304
219	0.3198118765
220	0.3184030829
221	0.3171211882
222	0.3160478608
223	0.315862269
224	0.3147803625
225	0.3133569735
226	0.3131293809
227	0.3116761825
228	0.3103741533
229	0.3091259356
230	0.308043389
231	0.3072346269
232	0.3070660222
233	0.306013708
234	0.3050400524
235	0.3040100906
236	0.3033570475
237	0.30242579
238	0.3012795873
239	0.3001399009
240	0.2987923475
241	0.2980717367
242	0.2979325306
243	0.2971887184
244	0.2962215173
245	0.2952719736
246	0.2946956904
247	0.2937245206
248	0.2924247305
249	0.2913787178
250	0.2905088964
251	0.2894037437
252	0.2889276453
253	0.2878981178
254	0.2865575957
255	0.2856702216
256	0.2845584482
257	0.2833447413
258	0.2820865758
259	0.2812464384
260	0.2805986222
261	0.2792770197
262	0.2783593203
263	0.2774826962
264	0.2765340744
265	0.2755556096
266	0.2741765483
267	0.2732884264
268	0.2723774816
269	0.2714477446
270	0.2704608041
271	0.270331926
272	0.2694538365
273	0.2680620671
274	0.2669616792
275	0.26639964
276	0.2655671018
277	0.2647100078
278	0.2639526114
279	0.2630817891
280	0.2619699973
281	0.2610524837
282	0.26021064
283	0.2592243076
284	0.2590586019
285	0.2587065937
286	0.2574180438
287	0.2563779619
288	0.2555011017
289	0.2545441913
290	0.2536693327
291	0.2527260166
292	0.2516443724
293	0.2507881189
294	0.2496239426
295	0.2483899219
296	0.2473670624
297	0.2464825861
298	0.2456639155
299	0.2449346101
300	0.2441515915
301	0.2433664846
302	0.2424678802
303	0.2416749376
304	0.2407465297
305	0.2399042386
306	0.2386401618
307	0.2378179066
308	0.2368730632
309	0.2363542278
310	0.2351356863
311	0.2349904255
312	0.2338401939
313	0.2328905976
314	0.23218526
315	0.2313486039
316	0.2306745551
317	0.230178853
318	0.2294919769
319	0.2288909502
320	0.2283346144
321	0.2274485912
322	0.2270690109
323	0.2261475091
324	0.225180172
325	0.2249257879
326	0.2242811465
327	0.2237711824
328	0.2228998013
329	0.222820978
330	0.2221767923
331	0.2215839203
332	0.2209448382
333	0.220577918
334	0.2201312166
335	0.21992471
336	0.2190746522
337	0.2179521844
338	0.2171745321
339	0.2165712138
340	0.2157896453
341	0.2147039058
342	0.2138363719
343	0.2133572663
344	0.2128413316
345	0.2122478868
346	0.2113664841
347	0.2110805324
348	0.210209225
349	0.2094865936
350	0.2088531461
351	0.2080420702
352	0.207303772
353	0.2065612766
354	0.2057238942
355	0.205108236
356	0.2043925078
357	0.2036672464
358	0.2029946451
359	0.2022655281
360	0.2018628303
361	0.2018020187
362	0.2011981916
363	0.200669255
364	0.1999929434
365	0.1994712845
366	0.1987320654
367	0.1982423156
368	0.1972276965
369	0.1965216871
370	0.1958859292
371	0.1953704504
372	0.1945073834
373	0.1943895079
374	0.1940533508
375	0.1934121432
376	0.1933178441
377	0.1930504793
378	0.1924634342
379	0.1919365339
380	0.191331003
381	0.1906755082
382	0.1896258571
383	0.1885233178
384	0.1881991984
385	0.1875603859
386	0.1866841981
387	0.186060766
388	0.1854295065
389	0.1850441939
390	0.1842834204
391	0.1836533649
392	0.1830681793
393	0.182526726
394	0.1817654746
395	0.1814206081
396	0.1807991703
397	0.1799961139
398	0.1793360429
399	0.1790472237
400	0.1785593926
401	0.1781121468
402	0.177385453
403	0.1769457508
404	0.1762462103
405	0.1757816746
406	0.1752918232
407	0.1743881252
408	0.1737908561
409	0.1732467862
410	0.1725130053
411	0.1717380316
412	0.1712747088
413	0.1706599448
414	0.169988371
415	0.1695207454
416	0.1689507121
417	0.1682631423
418	0.1677880091
419	0.1671801784
420	0.1668365014
421	0.1663666098
422	0.1655759388
423	0.1650027118
424	0.1644260837
425	0.1639171412
426	0.163618581
427	0.163016008
