iter	Passed	Remaining
0	8	4424
1	16	4016
2	23	3857
3	30	3763
4	37	3712
5	44	3670
6	51	3634
7	58	3611
8	67	3679
9	75	3712
10	83	3721
11	91	3723
12	99	3720
13	109	3787
14	116	3764
15	124	3755
16	131	3730
17	138	3716
18	145	3694
19	153	3694
20	161	3690
21	169	3682
22	177	3677
23	186	3696
24	193	3676
25	201	3679
26	208	3658
27	216	3641
28	223	3622
29	230	3604
30	237	3588
31	244	3572
32	251	3556
33	258	3540
34	265	3525
35	272	3510
36	279	3496
37	286	3483
38	293	3471
39	300	3459
40	307	3447
41	314	3434
42	322	3423
43	329	3411
44	336	3400
45	343	3389
46	350	3379
47	357	3368
48	364	3358
49	372	3348
50	379	3337
51	386	3328
52	393	3318
53	400	3308
54	407	3296
55	414	3287
56	421	3278
57	428	3268
58	436	3259
59	443	3250
60	450	3240
61	457	3229
62	464	3220
63	471	3211
64	478	3203
65	485	3193
66	492	3184
67	499	3175
68	506	3166
69	514	3158
70	521	3149
71	528	3140
72	535	3132
73	542	3125
74	549	3116
75	556	3106
76	563	3097
77	570	3088
78	578	3080
79	585	3071
80	592	3063
81	599	3054
82	606	3045
83	613	3036
84	620	3028
85	627	3020
86	634	3012
87	641	3003
88	648	2995
89	655	2987
90	662	2978
91	669	2970
92	676	2962
93	684	2955
94	691	2947
95	698	2939
96	706	2934
97	713	2926
98	720	2917
99	727	2909
100	734	2902
101	741	2894
102	748	2886
103	756	2879
104	763	2871
105	770	2864
106	777	2855
107	784	2847
108	791	2839
109	798	2831
110	805	2822
111	812	2814
112	819	2807
113	827	2800
114	834	2792
115	841	2785
116	848	2777
117	855	2769
118	862	2761
119	869	2754
120	876	2745
121	883	2738
122	890	2730
123	897	2722
124	905	2716
125	913	2710
126	920	2704
127	928	2698
128	936	2693
129	944	2687
130	951	2681
131	959	2675
132	967	2669
133	974	2662
134	982	2655
135	990	2650
136	998	2645
137	1006	2640
138	1014	2633
139	1021	2626
140	1028	2618
141	1035	2610
142	1043	2604
143	1050	2597
144	1058	2591
145	1065	2583
146	1072	2576
147	1080	2569
148	1087	2561
149	1094	2554
150	1102	2547
151	1109	2541
152	1117	2533
153	1125	2527
154	1133	2523
155	1142	2519
156	1149	2511
157	1157	2504
158	1164	2498
159	1172	2491
160	1179	2483
161	1186	2475
162	1193	2468
163	1200	2460
164	1208	2453
165	1215	2445
166	1223	2439
167	1230	2431
168	1238	2425
169	1245	2418
170	1253	2410
171	1260	2403
172	1267	2396
173	1276	2390
174	1286	2388
175	1294	2383
176	1304	2380
177	1313	2376
178	1323	2373
179	1331	2367
180	1342	2365
181	1352	2362
182	1360	2357
183	1371	2354
184	1379	2349
185	1389	2346
186	1398	2341
187	1407	2336
188	1418	2333
189	1426	2328
190	1437	2324
191	1444	2317
192	1452	2310
193	1460	2303
194	1468	2297
195	1476	2289
196	1483	2282
197	1491	2274
198	1499	2267
199	1506	2259
200	1513	2251
201	1521	2244
202	1528	2236
203	1536	2228
204	1543	2220
205	1551	2214
206	1558	2206
207	1566	2199
208	1573	2190
209	1581	2183
210	1588	2175
211	1596	2168
212	1603	2160
213	1611	2153
214	1618	2145
215	1625	2137
216	1633	2130
217	1643	2126
218	1652	2120
219	1661	2115
220	1670	2109
221	1680	2104
222	1689	2099
223	1699	2094
224	1710	2090
225	1718	2083
226	1728	2078
